Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
01-Mar-2018,3080,3008.05,3020.9,503301,15345.295509,7396,
05-Mar-2018,3020.9,2931.75,2943.55,287300,8498.699524,5343,
06-Mar-2018,2976.05,2883.25,2899.2,258501,7597.2292755,4479,
07-Mar-2018,2940,2875,2903.9,185188,5396.8349945,3644,
08-Mar-2018,2945,2891.1,2923.9,143854,4196.248485,2851,
09-Mar-2018,2966.9,2918.15,2935.4,205178,6044.043293,3709,
12-Mar-2018,2966,2931,2957.75,246428,7280.508782,3006,
13-Mar-2018,3004,2952.95,2971.75,287288,8564.0236345,3772,
14-Mar-2018,2969,2936,2950.55,225181,6636.7199685,2740,
15-Mar-2018,2971.9,2936.5,2948.75,181457,5363.9218855,1940,
16-Mar-2018,2958,2890.35,2910.45,338593,9887.5137785,4066,
19-Mar-2018,2920.85,2842.65,2849.45,231927,6651.269022,3002,
20-Mar-2018,2888.25,2830.3,2873,227109,6532.6071165,2230,
21-Mar-2018,2890.45,2835.35,2851.8,231405,6638.530106,2985,
22-Mar-2018,2873.75,2822,2834.95,325295,9240.2692855,4438,
23-Mar-2018,2817.25,2745,2789.95,451122,12506.4130605,6950,
26-Mar-2018,2864.75,2732.05,2848.65,299008,8361.6743495,9457,
27-Mar-2018,2863.9,2791,2798.3,304403,8564.2925455,8556,
28-Mar-2018,2792.3,2735.55,2744.7,680019,18800.5600345,11588,
02-Apr-2018,2815.95,2749,2808.95,396178,11072.272877,5533,
03-Apr-2018,2829.9,2785,2792,324121,9068.793506,3257,
04-Apr-2018,2816,2746.25,2766,308672,8582.4572975,4652,
05-Apr-2018,2815.95,2782.4,2808.15,341534,9557.0131535,4875,
06-Apr-2018,2824.05,2776.25,2786.4,282872,7897.4506095,4619,
09-Apr-2018,2803.95,2767.35,2772.45,270316,7520.7159,3925,
10-Apr-2018,2799,2762.45,2766.45,298049,8275.5532505,4240,
11-Apr-2018,2780,2751,2755.55,275482,7605.840823,3399,
12-Apr-2018,2780,2757,2763.2,349414,9655.5735875,3564,
13-Apr-2018,2806,2759.25,2786.2,400416,11174.182318,6125,
16-Apr-2018,2841.45,2776.1,2838.3,479220,13513.568042,8612,
17-Apr-2018,2875.3,2840,2864.2,562666,16088.8091645,8196,
18-Apr-2018,2879,2845.7,2862.05,352687,10106.5413475,6832,
19-Apr-2018,2865,2841.15,2857.95,283973,8103.3727165,4470,
20-Apr-2018,2870.05,2801.05,2852.7,466032,13195.415585,6667,
23-Apr-2018,2880,2820,2852.15,235602,6713.249675,4731,
24-Apr-2018,2897.3,2850,2886.8,261691,7537.91927,10715,
25-Apr-2018,2911.95,2864.55,2900.35,319384,9242.8481595,16160,
26-Apr-2018,2924,2877,2884.95,387123,11195.6107025,12920,
27-Apr-2018,2960,2890,2947.15,365533,10753.9633465,5490,
30-Apr-2018,2977.5,2928.85,2952.6,122656,3625.3943305,2444,
02-May-2018,3043.4,2950.05,2965.95,523589,15743.4703015,9847,
03-May-2018,2994.95,2951.1,2975.2,382125,11354.8973085,3489,
04-May-2018,2986,2885,2888.65,266727,7764.1486405,3761,
07-May-2018,2942.95,2890.65,2915.3,235635,6889.8519735,2219,
08-May-2018,2929.8,2886,2892.25,132638,3845.513513,1286,
09-May-2018,2904.7,2865.1,2872,155763,4487.10364,1659,
10-May-2018,2894.95,2820.05,2827.5,222907,6336.400873,2483,
11-May-2018,2845,2801,2815.45,286976,8076.7245755,2675,
14-May-2018,2850,2792.5,2831.95,142564,4038.0243495,2197,
15-May-2018,2877,2807.75,2823.65,256661,7286.9508505,3713,
16-May-2018,2826.8,2785.3,2811.9,262982,7373.125006,3271,
17-May-2018,2830.1,2787,2815.45,162490,4566.6763775,3781,
18-May-2018,2915,2755.6,2787.5,1811320,51407.4127365,51170,
21-May-2018,2774.95,2703.5,2720.55,393470,10796.4082845,12793,
22-May-2018,2826,2725.05,2808.5,512096,14298.0767885,15548,
23-May-2018,2832.15,2766,2774.95,243631,6781.825367,5679,
24-May-2018,2814.6,2716.15,2732.8,275197,7560.3486485,6438,
25-May-2018,2775.6,2723,2758.5,298273,8210.8162355,5784,
28-May-2018,2812,2751,2790.15,160044,4467.281398,5960,
29-May-2018,2834.95,2761.65,2796.05,261407,7311.6243575,12246,
30-May-2018,2794,2757,2762.9,345195,9569.2356185,9361,
31-May-2018,2784.95,2734.1,2750.3,447005,12294.9327445,10956,
01-Jun-2018,2911.4,2778.65,2896.55,1799352,51650.152511,28198,
04-Jun-2018,2922.55,2871.05,2878.5,759197,21968.7687835,10283,
05-Jun-2018,2884.65,2840,2847.55,367916,10528.1853165,5597,
06-Jun-2018,2939.4,2833.65,2885.25,654288,18968.8718935,12095,
07-Jun-2018,2929,2862.55,2888.6,513700,14882.5976815,7523,
08-Jun-2018,2900.55,2867,2874.05,269022,7743.529769,3519,
11-Jun-2018,2913.95,2873.8,2881.1,413241,11960.666194,5756,
12-Jun-2018,2912.5,2870.05,2887.25,539628,15637.8175055,5930,
13-Jun-2018,2934,2891.55,2907.95,362419,10569.2646335,6521,
14-Jun-2018,2910,2880.15,2890.7,333925,9656.737618,3770,
15-Jun-2018,2904,2853,2877.15,370164,10653.9470095,5064,
18-Jun-2018,2917.7,2864.95,2895.3,427791,12419.574704,5136,
19-Jun-2018,2893,2838.55,2849.8,523480,14970.025213,5606,
20-Jun-2018,2879,2855.15,2869.65,502478,14420.1431765,4459,
21-Jun-2018,2877.95,2822.7,2830.1,300367,8562.423717,6360,
22-Jun-2018,2836.85,2806,2832.2,553549,15600.8007665,5955,
25-Jun-2018,2839.8,2795.2,2801.3,339572,9560.7335845,7911,
26-Jun-2018,2822.5,2785.55,2811.95,249490,7004.5844335,7296,
27-Jun-2018,2822.95,2758.2,2765.45,289628,8058.002488,12354,
28-Jun-2018,2785,2705.4,2716,417993,11462.3495075,12946,
29-Jun-2018,2828,2720.15,2810.3,425210,11869.8901175,7387,
02-Jul-2018,2912,2815,2835.15,1007694,28937.413397,15966,
03-Jul-2018,2882,2835,2862.4,510764,14639.117516,5229,
04-Jul-2018,2989,2855.8,2979.05,845034,24822.2364375,17110,
05-Jul-2018,2985,2912.7,2966.95,752721,22188.3694075,13418,
06-Jul-2018,3078.25,2950,3020.1,1511538,45875.0255185,20348,
09-Jul-2018,3083,2996.6,3018.15,643119,19522.8715215,8746,
10-Jul-2018,3114.95,3030,3093.95,959927,29584.840441,16611,
11-Jul-2018,3174.95,3057.05,3161.6,1155857,36267.7774325,18422,
12-Jul-2018,3194.95,3070,3096.7,932430,29210.352853,14386,
13-Jul-2018,3156.95,3058,3138.65,852168,26392.3053795,13601,
16-Jul-2018,3165,3090.95,3101.85,374574,11707.7394985,7530,
17-Jul-2018,3125.95,3085,3094.2,563857,17501.351111,7704,
18-Jul-2018,3160.85,3101,3107.8,658396,20622.0113105,16171,
19-Jul-2018,3144.4,3100,3115,755100,23551.4166635,10904,
20-Jul-2018,3153.8,2816.45,2839.6,4976986,146566.742063,142843,
23-Jul-2018,2841.6,2655,2684.15,2974676,80983.07694,82405,
24-Jul-2018,2725,2615,2648.65,2843387,75911.5847915,73695,
25-Jul-2018,2698.3,2626,2638.6,1114670,29754.414861,37135,
26-Jul-2018,2666.95,2605,2618.5,1256232,33048.5686435,39621,
27-Jul-2018,2697,2630,2686.75,958294,25582.043333,16543,
30-Jul-2018,2699,2655.5,2673.15,546935,14639.217265,8734,
31-Jul-2018,2715,2661.2,2700.05,721932,19475.955427,13616,
01-Aug-2018,2768,2664.1,2680.9,1408788,38334.2578255,24990,
02-Aug-2018,2699.55,2631.05,2678.6,617961,16518.4449295,11417,
03-Aug-2018,2700,2675.4,2690.45,343259,9228.6534355,6221,
06-Aug-2018,2716,2675.2,2687.9,352383,9505.9480535,5760,
07-Aug-2018,2708.35,2681.55,2686.6,272507,7337.988309,6230,
08-Aug-2018,2700,2653.75,2660.6,391732,10459.5633265,6973,
09-Aug-2018,2686.85,2641.05,2658.6,448329,11955.931873,8606,
10-Aug-2018,2677.2,2620,2629.7,417567,11061.1877855,8197,
13-Aug-2018,2658,2606,2630.85,418212,11024.3919465,9605,
14-Aug-2018,2656.75,2633.8,2646.4,227189,6007.944364,6899,
16-Aug-2018,2678,2630,2667.5,654766,17453.3755035,7936,
17-Aug-2018,2677.95,2641,2661.35,331427,8819.826353,8098,
20-Aug-2018,2746.6,2664.2,2735.35,580539,15737.4007505,21107,
21-Aug-2018,2770,2718.6,2728.5,463379,12736.0939975,13671,
23-Aug-2018,2740,2675.2,2685.55,442939,11939.6163895,11415,
24-Aug-2018,2697,2664,2682.25,551229,14766.1894275,12426,
27-Aug-2018,2708,2675,2697.6,270591,7287.7049,11173,
28-Aug-2018,2705,2671.1,2684.4,358078,9603.404907,13796,
29-Aug-2018,2702,2680,2689.1,296377,7969.1716395,19902,
30-Aug-2018,2722.5,2683.45,2701.65,582960,15770.196678,24133,
31-Aug-2018,2755,2705.8,2744.85,512215,13988.785272,12218,
03-Sep-2018,2807.7,2750,2771.9,876984,24379.196495,20976,
04-Sep-2018,2785,2726.55,2735.55,549748,15114.239809,8984,
05-Sep-2018,2780.05,2725.65,2772.3,461142,12708.372685,7422,
06-Sep-2018,2808,2772,2783.1,636038,17726.935636,10602,
07-Sep-2018,2932,2831.05,2923.55,1417855,40875.892961,37170,
10-Sep-2018,2949,2850.1,2868.6,1050199,30514.8368505,19195,
11-Sep-2018,2905,2825.4,2833.7,595570,16953.768039,9971,
12-Sep-2018,2886.7,2811.5,2867.95,448143,12770.894401,12633,
14-Sep-2018,2909.9,2865.5,2877.5,393663,11359.6631235,9109,
17-Sep-2018,2879.9,2840.05,2860.65,133182,3812.027483,6318,
18-Sep-2018,2869,2762.25,2773.8,409367,11518.426424,12499,
19-Sep-2018,2829.95,2775,2790.1,327618,9192.4479695,11712,
21-Sep-2018,2843,2673,2799.2,466306,13067.6801755,11776,
24-Sep-2018,2813.7,2750,2759.3,485510,13473.2617265,9208,
25-Sep-2018,2801.85,2727.1,2788.7,348703,9689.281974,12030,
26-Sep-2018,2808.75,2743.6,2773.3,494874,13711.553504,15546,
27-Sep-2018,2826,2758.4,2783.55,565518,15800.9766715,14955,
28-Sep-2018,2807.95,2636,2687.45,892679,24071.422111,11080,
01-Oct-2018,2745,2619.6,2730.1,610220,16437.2939295,9617,
03-Oct-2018,2769.9,2702,2731.4,504580,13833.355788,5857,
04-Oct-2018,2719.5,2626.25,2657,638156,17085.809667,9403,
05-Oct-2018,2635,2520,2543.05,947343,24361.382649,13277,
08-Oct-2018,2604.1,2501.25,2584.1,667297,17007.5501005,9709,
09-Oct-2018,2590.05,2530.3,2548.85,309578,7907.8607195,6137,
10-Oct-2018,2628.9,2556,2581.8,699121,18171.1845485,8669,
11-Oct-2018,2555.9,2505.45,2525.8,386992,9795.8288535,8775,
12-Oct-2018,2648.95,2530.1,2623.05,510424,13322.9617425,11824,
15-Oct-2018,2647.4,2576.1,2620.45,176677,4607.0572825,6042,
16-Oct-2018,2648,2605,2610.5,257469,6746.6223475,4604,
17-Oct-2018,2649.65,2538,2547.8,285116,7376.8591885,6163,
19-Oct-2018,2542.85,2480,2510.25,470172,11823.2685455,8833,
22-Oct-2018,2574.7,2496.7,2556.9,321452,8172.412889,9522,
