Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
01-Mar-2017,292.05,285,288.95,5145017,14863.446792,4754,
02-Mar-2017,293.75,287.8,289.8,2879156,8381.7822525,3194,
03-Mar-2017,310,294.05,307.9,12442632,37881.641784,13155,
06-Mar-2017,312.75,305.75,310.1,5737310,17756.782953,4559,
07-Mar-2017,314.9,309,310.1,3416663,10657.944345,3149,
08-Mar-2017,311.5,306.35,309.95,1818529,5622.6675345,1457,
09-Mar-2017,308.9,303.1,305.15,2492122,7605.0857805,1773,
10-Mar-2017,312.8,306.05,308.45,3372496,10433.0695805,2964,
14-Mar-2017,315,307.5,310.05,2549708,7920.387641,1786,
15-Mar-2017,312.8,308.05,308.9,2640194,8195.5548775,1755,
16-Mar-2017,311.75,309.25,310.5,1573157,4884.2749355,1488,
17-Mar-2017,312.1,305.65,309.7,4625028,14265.3719255,3006,
20-Mar-2017,314.45,303.65,308.8,2111748,6567.4535585,2184,
21-Mar-2017,314.5,310.35,313.45,1647977,5151.8062315,2045,
22-Mar-2017,317,310.45,312.95,3928598,12285.0594185,4066,
23-Mar-2017,317,312.5,313.55,1674503,5248.4975295,1153,
24-Mar-2017,314.55,309.25,310.4,1346006,4196.864238,1624,
27-Mar-2017,315.3,307.4,312.55,1775015,5537.215476,3217,
28-Mar-2017,323.9,313.7,318.65,5338059,17012.59794,7506,
29-Mar-2017,340.85,320.1,336.85,13686074,45571.546104,20464,
30-Mar-2017,339.45,331,336.7,3987511,13403.5913015,8238,
31-Mar-2017,328.9,322.5,325.9,1861425,6055.214538,1362,
03-Apr-2017,332.3,318.75,329.55,2166039,7046.7696385,1685,
05-Apr-2017,343.7,328.65,337.7,4885545,16518.802579,2164,
06-Apr-2017,340.75,325.4,339.15,2801379,9400.721446,1930,
07-Apr-2017,348.7,333.6,347.6,2517255,8694.7774535,2407,
10-Apr-2017,360.9,348,357,4076623,14523.098204,3170,
11-Apr-2017,362.95,353,355.55,4051807,14539.480784,2171,
12-Apr-2017,372.3,352.15,367.05,4281035,15583.6558585,5602,
13-Apr-2017,371,350.6,355.05,1641083,5883.0670145,2788,
17-Apr-2017,355.5,340.5,344.35,1496125,5149.5954335,2161,
18-Apr-2017,350.9,330.75,336.9,6099634,21055.402553,2666,
19-Apr-2017,347.75,333.75,346.7,3381242,11655.467185,3241,
20-Apr-2017,346,341.7,342.7,2561493,8811.6845685,1480,
21-Apr-2017,356.3,345.85,352.85,2027577,7109.5865765,2116,
24-Apr-2017,360,349.5,358.25,2949867,10465.52066,3893,
25-Apr-2017,377.3,357.95,375.25,4440724,16492.8029955,5257,
26-Apr-2017,377.5,364.25,367.3,3226103,11896.274118,5164,
27-Apr-2017,369.55,361.4,366.8,1340486,4910.006403,5509,
28-Apr-2017,368.5,353.35,354.7,1431794,5136.3209755,1151,
02-May-2017,358.9,349.3,354.2,4267681,15146.844777,900,
03-May-2017,365.55,353.9,363,1939983,7006.4302695,2281,
04-May-2017,365.6,360,363.35,1316836,4781.626733,1417,
05-May-2017,370,358.5,366.6,1981269,7270.524951,1596,
08-May-2017,370.9,363,364.45,686159,2517.292086,1690,
09-May-2017,371.25,356.35,365.9,2151177,7899.7072745,3475,
10-May-2017,369,360,366.65,2254910,8263.284362,1529,
11-May-2017,381.65,366.5,378.3,3254041,12166.86717,2662,
12-May-2017,379.25,369.8,374.7,1559224,5815.8113765,1576,
15-May-2017,375.8,368.65,371.05,761032,2824.044414,806,
16-May-2017,380.85,370.05,376.55,1346372,5076.458585,1435,
17-May-2017,396.5,375.1,389.9,2268036,8691.629311,3371,
18-May-2017,388.85,377,378.9,2014628,7707.910082,2468,
19-May-2017,387.5,374.85,378.95,2031322,7707.5252435,2574,
22-May-2017,389.3,376.15,387.95,2772691,10690.52134,4261,
