Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-03-01,376.3,369.05,370.75,6991806,26086.60988,23676
2018-03-05,368.75,350.1,352.05,14665325,52224.83012,42880
2018-03-06,357.95,345,346.5,8876632,31257.71666,32526
2018-03-07,355.3,343.25,347.8,15599393,54589.9893,39456
2018-03-08,351.9,341.05,345.15,7674221,26475.60295,25252
2018-03-09,348.7,340.15,341.5,5519224,19003.03318,17666
2018-03-12,353.8,340.35,352.6,8238960,28590.52951,27292
2018-03-13,356.45,350,353.15,6184241,21876.00761,22484
2018-03-14,354.9,349.6,354.05,3820313,13450.56807,14070
2018-03-15,358.4,351.1,353.1,4331145,15336.9213,18734
2018-03-16,352.6,338.4,339.75,14205582,48669.87581,31703
2018-03-19,342.1,332.55,335.7,9391347,31622.55453,29672
2018-03-20,340.4,333.55,338.8,5080453,17175.16589,20907
2018-03-21,342.25,332.25,333.85,6812442,22932.60147,29811
2018-03-22,340.25,334.8,338.2,9255091,31282.60792,27258
2018-03-23,334.8,329.6,330.85,8578297,28464.11466,28554
2018-03-26,333.9,324.3,332.35,8907023,29281.90067,48205
2018-03-27,335.8,330.1,331.15,6822448,22705.7664,44608
2018-03-28,333.65,325.2,326.85,10975624,36159.65434,67702
2018-04-02,340.8,332.7,339.15,9874486,33219.29388,29517
2018-04-03,344.5,337.15,343.1,6989584,23911.98986,25508
2018-04-04,363.7,346.25,355.6,27157199,97300.31286,90154
2018-04-05,372.35,359.8,362.2,28886070,105983.1495,70629
2018-04-06,368.35,356.45,364.1,13297051,48287.23402,41802
2018-04-09,368.6,357,358.3,9555113,34522.54847,37193
2018-04-10,362.35,351.5,353.25,8201215,29128.4363,33072
2018-04-11,357.15,350.5,355.8,5622957,19906.01953,26283
2018-04-12,364.4,357,358.4,13145938,47327.16743,38635
2018-04-13,361,354.4,357.05,5935628,21207.70159,25393
2018-04-16,352.8,337.55,339.15,19157051,65586.71675,60941
2018-04-17,344.2,332.6,336.45,14241074,48059.90322,45206
2018-04-18,339.75,333.4,334.8,6699271,22563.71368,24302
2018-04-19,337,332.5,334.25,7087115,23711.29886,23296
2018-04-20,343.25,334.6,336,11908652,40350.86525,39289
2018-04-23,339.5,333,334.05,8056732,27070.28957,42264
2018-04-24,335,330.6,331.55,9210931,30648.55395,41393
2018-04-25,334,327.75,328.6,6306039,20832.29494,52928
2018-04-26,335.95,326,330.25,16647689,55128.14536,83428
2018-04-27,337.65,331.05,336.9,8804236,29451.38109,24814
2018-04-30,342.75,337.25,340.4,5937740,20205.99582,23457
2018-05-02,351.65,335,336.05,16022148,54934.49826,48107
2018-05-03,335.9,329.15,333.5,6870513,22809.91176,23529
2018-05-04,337.3,329.5,334.4,6660062,22188.98653,27457
2018-05-07,337.85,333.7,335.15,3888627,13041.36922,14229
2018-05-08,336.6,330.25,332.15,8114997,26954.75429,17932
2018-05-09,347.25,331,341.95,19019847,64991.1835,55911
