Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-03-01,822.3,808,810.2,975986,7954.772888,2949
2018-03-05,814.85,801,808.9,1262568,10204.53046,3765
2018-03-06,823.2,799.05,807.65,1358775,11072.73272,5456
2018-03-07,820.1,800.2,814.85,1826249,14806.27438,6278
2018-03-08,822.3,808.05,817.7,1109489,9040.189018,3578
2018-03-09,827.6,815.5,819.1,1061685,8729.950615,5148
2018-03-12,831.6,822.4,829.1,1033715,8552.067553,4539
2018-03-13,860,830,851.95,2754435,23325.42031,12116
2018-03-14,867.85,849.95,865,1889040,16228.30162,8557
2018-03-15,875.75,860,872.5,2486538,21626.38968,7874
2018-03-16,883.4,862.1,879.25,2538310,22184.08792,7743
2018-03-19,891.85,864,869,2536517,22295.48392,11234
2018-03-20,880,860.1,871.75,1985478,17342.45733,7319
2018-03-21,884.7,869.6,872.25,1859947,16321.9951,7382
2018-03-22,892,872.25,887.55,3186401,28181.65928,10725
2018-03-23,900,872.85,895.05,4132765,36920.24484,16554
2018-03-26,949.8,896.45,939.05,5918775,54892.47722,34361
2018-03-27,949.5,932.35,942.4,2756923,25952.38455,17069
2018-03-28,964,918,942.3,11431588,108100.4562,38562
2018-04-02,948.5,926.3,944.1,2764385,25947.89683,8854
2018-04-03,951.7,924.55,931.95,2454365,22940.91915,8214
2018-04-04,939.7,902,904.35,2930774,26735.28289,12455
2018-04-05,924,902.65,920.05,4148653,37999.18124,12017
2018-04-06,946,908.05,940.3,2819200,26253.51091,14210
2018-04-09,971.8,947.05,960.65,5116819,49339.73528,21630
2018-04-10,968.9,953.1,962.25,2434826,23416.26249,10348
2018-04-11,981.4,958.1,979.95,3452488,33585.27901,14970
2018-04-12,993,971.35,976.05,4379096,43146.97335,17544
2018-04-13,994.8,980.5,987.15,3311755,32725.73096,15271
2018-04-16,991.9,973.3,980.5,2247785,22023.32528,9237
2018-04-17,999,974.1,997.6,2983704,29514.11945,20641
2018-04-18,999.7,975.1,977.1,2621345,25814.49506,14362
2018-04-19,983,949.2,952.75,3347181,32015.46826,16116
2018-04-20,965.4,947.05,956.55,2201052,21072.50943,11889
2018-04-23,973.2,948.6,962.95,2295872,22096.75931,18292
2018-04-24,971.3,954.25,961.95,1473491,14184.64195,13102
2018-04-25,968,955.1,960.85,1385599,13322.81864,13921
2018-04-26,972.45,955,969.5,1859223,17971.81531,15926
2018-04-27,978,963.6,970,1049687,10202.73711,8761
2018-04-30,984.9,968,981.8,1083840,10602.08604,9533
2018-05-02,985.45,960.4,964.5,1027474,9999.414974,7985
2018-05-03,977.75,951,959.35,1585290,15255.4764,11050
2018-05-04,966,952.35,958.1,958663,9184.281009,6499
2018-05-07,980.9,957.3,968.95,1987395,19300.74126,9291
2018-05-08,978.95,963,968.1,1979745,19204.51896,8881
2018-05-09,995.6,971,985.7,4201827,41410.87831,28001
2018-05-10,993.85,965.55,973.1,3434978,33706.19664,22983
2018-05-11,991.85,952,956.05,5712581,55319.70573,38534
2018-05-14,962,917.05,920,3754208,35044.15905,26199
2018-05-15,944.45,909.25,931,3154028,29442.20869,18339
2018-05-16,939.5,915.85,931.15,1923381,17928.57111,14774
2018-05-17,949,927.7,936.5,2895005,27285.91383,12451
2018-05-18,945.85,930.3,939.95,2574768,24230.32415,11341
2018-05-21,944.5,912.75,915.25,1233987,11431.05614,17006
2018-05-22,930.85,904.05,914.2,2086584,19152.72417,18126
2018-05-23,923,908.1,920.1,1938630,17789.94794,14783
2018-05-24,926.8,913.95,921.3,1209456,11115.45619,11894
2018-05-25,938.6,915.1,924.4,1700500,15793.06806,17216
2018-05-28,935.6,917.5,928.9,1139544,10556.3084,17265
2018-05-29,930.5,912,914.5,999806,9194.945015,12646
2018-05-30,919,897.2,913.6,1911011,17393.99226,21310
2018-05-31,924,890.15,900.1,4903734,44408.94798,23353
2018-06-01,912.35,898,900,1392273,12613.25707,7140
2018-06-04,907.95,881.6,885.35,1529852,13590.87931,8558
2018-06-05,886.45,858.2,863.95,2948255,25657.2348,11416
2018-06-06,904,853.3,899.45,2854320,25297.5366,17380
2018-06-07,906.7,884.2,887.15,2875636,25723.49124,14029
2018-06-08,898,880.4,896,1672490,14903.36879,9017
2018-06-11,914,896,903.35,2032601,18451.62268,12730
2018-06-12,911,901.1,904.7,1426736,12926.36222,5611
2018-06-13,926.8,905,918.15,2933810,26991.12435,15502
2018-06-14,921.35,903.25,905.25,2004165,18221.96883,7879
2018-06-15,916.9,898.5,903.45,2364375,21400.68394,10603
2018-06-18,905.25,891.7,897.7,1309586,11766.0542,11363
2018-06-19,896.45,886,889,1833168,16323.98061,10466
2018-06-20,897,880.5,888.35,1850681,16463.7097,15116
2018-06-21,894.8,866,868.4,1274479,11205.87654,11339
2018-06-22,881.75,859,877.55,2183928,19036.82771,13917
2018-06-25,885.3,862,864,1217765,10582.98993,10121
2018-06-26,874.5,862,872.15,1801638,15635.4236,13168
2018-06-27,879.5,867,869.65,2037781,17758.51985,21432
2018-06-28,868,830,836.35,9824968,82333.78776,31344
2018-06-29,881.8,826.05,878.5,4960179,42715.23633,21382
2018-07-02,906.9,870.15,897.4,3353006,29786.56745,18649
2018-07-03,902.8,883.8,893.2,2770123,24764.89134,9810
2018-07-04,899.35,882.5,886.55,1104449,9812.102691,7395
2018-07-05,870.75,833.25,838,6128988,51936.1693,27920
2018-07-06,848.5,813,829.65,6884175,57192.87839,37919
2018-07-09,836.3,817.65,821.8,4098360,33797.64519,15998
2018-07-10,840,822.4,832.85,2670508,22212.04892,15721
2018-07-11,833.15,805.6,809.5,2909483,23737.51853,24653
2018-07-12,823.25,804,808.45,2832418,23083.27053,15324
2018-07-13,842,799.65,838.7,4995028,41280.04982,32189
2018-07-16,844.1,816.1,831.2,3256321,26998.83805,18547
2018-07-17,855.2,826,845.15,2849218,24076.9495,20320
2018-07-18,856.1,838.1,846.2,2660188,22566.24194,14244
2018-07-19,874.8,847.05,869.85,3924410,33989.28465,22927
2018-07-20,876.6,857.4,860.4,2048572,17723.40912,14923
2018-07-23,866,845.2,858.75,1334621,11410.55001,16118
2018-07-24,870.9,851.5,861.65,2015425,17346.8571,16666
2018-07-25,871.6,853,865.9,1453640,12549.98017,18821
2018-07-26,869.95,850.5,854.5,1167616,10029.76614,15251
2018-07-27,894.5,852.2,884.1,3210162,28146.45136,14628
2018-07-30,903,880.8,892.05,2418684,21623.60104,10231
2018-07-31,914,886.4,912.35,2165312,19530.67403,12340
2018-08-01,920.5,905.3,917.35,1818993,16632.34996,9482
2018-08-02,933.6,909.25,921.5,2313020,21361.48898,15607
2018-08-03,942,902.2,919.2,9358677,86229.8598,60378
2018-08-06,939.1,896.75,901.65,3763151,34417.13469,24917
2018-08-07,931.9,898.7,927.25,4450697,40850.21364,20442
2018-08-08,936.5,921,935,2163746,20173.84323,11346
2018-08-09,934.8,909.3,915.3,2536080,23264.9128,9997
2018-08-10,932,913,920.1,2105317,19456.583,9833
2018-08-13,924,910.55,913.65,1316517,12085.57787,8321
2018-08-14,927,914.05,925.6,1404450,12960.45555,6961
2018-08-16,929,917,919.45,1196749,11046.12784,5772
2018-08-17,945,921.55,941.55,2697290,25308.19888,18282
2018-08-20,943.5,914.15,921.7,2529831,23446.11857,22204
2018-08-21,927.95,905.8,916.3,2531200,23132.11633,12092
2018-08-23,926.4,907.1,911.9,1571386,14343.91839,12708
2018-08-24,915.9,882.5,885.35,3218302,28768.73712,18988
2018-08-27,900,887.1,890.9,1789147,15972.95477,15743
2018-08-28,897.75,871.55,888.3,3563757,31371.15209,25345
2018-08-29,895.6,876.5,882.8,1863018,16502.84332,24798
2018-08-30,891,876,878.35,1758855,15523.38716,24987
2018-08-31,894.8,877.1,891.9,1677232,14884.31623,8265
2018-09-03,921.35,891.15,912.75,4972521,45388.94315,18214
2018-09-04,928.4,877.1,880.9,3880086,34960.45808,20608
2018-09-05,882.4,851.65,863.9,2990706,25903.75685,14423
2018-09-06,883.5,858.1,867.15,2399973,20905.69944,13284
2018-09-07,876,861.05,867.45,1297983,11284.1497,6653
2018-09-10,868,850,857.55,1576682,13522.77481,9097
2018-09-11,860.9,815.8,820.75,4918816,40875.8577,19627
2018-09-12,838.35,790.15,826.45,6728840,54626.80654,36016
2018-09-14,852,829.25,842.6,3329172,28059.20993,17868
2018-09-17,838,816.7,823.45,2843632,23495.78885,19206
2018-09-18,843.95,818.65,824.9,3331397,27755.20267,20950
2018-09-19,829.8,786.1,823.6,5347338,43481.46338,32231
2018-09-21,836.65,779.2,800.6,4259892,34658.54603,28365
2018-09-24,805,773.35,791.1,3244812,25537.96187,24209
2018-09-25,814.3,778.15,796.85,3150095,25095.61952,29921
2018-09-26,820,802.15,814.7,4080359,33138.77134,26047
2018-09-27,843.65,815.5,821.45,7668506,63763.63447,50693
2018-09-28,831.15,794.35,805.6,3145969,25510.06767,12925
2018-10-01,814.4,782,809.75,2445752,19523.52489,13216
2018-10-03,813,791.2,794.5,3478716,27863.63386,12119
2018-10-04,797.5,760.3,776.7,4579535,35687.59056,16133
2018-10-05,815.7,784,792.1,7398167,59465.00948,24841
2018-10-08,819,774.7,813.55,3961739,31601.4871,15077
2018-10-09,820.95,732.3,749.5,8683946,67222.74117,39030
2018-10-10,796.35,740,788.55,7285084,56796.18262,28736
2018-10-11,798,754.55,778.9,3766505,29410.2842,16618
2018-10-12,809.75,777.1,805.15,4322158,34355.78198,19765
2018-10-15,812,788.75,807.2,2234430,17860.82531,12406
2018-10-16,819.65,808,810.6,2347048,19085.27436,10356
2018-10-17,823.3,792.55,800.1,2975579,23956.55546,17711
2018-10-19,810,782.5,788.7,2892515,22963.20139,17939
2018-10-22,795.9,773.2,774.8,2766247,21607.32094,23280
2018-10-23,787,766.15,778.2,2239883,17421.19008,16603
2018-10-24,794.8,772.25,791.6,2060580,16114.24933,22184
2018-10-25,796,777.8,791.25,1681346,13252.18215,21615
2018-10-26,820,786.65,806.9,3738778,30247.33432,15343
2018-10-29,834.45,807.65,829.75,2473393,20344.5275,10006
2018-10-30,841.4,819.4,830.5,1876874,15651.5957,9616
2018-10-31,847.9,818.5,844.6,2435865,20344.83544,8206
2018-11-01,862.9,834.4,854.45,2485725,21065.94323,11447
2018-11-02,884,857.9,871,3078543,26911.20194,10744
2018-11-05,872.4,856.55,863.7,1903690,16454.84325,4991
2018-11-06,877.6,840.2,846.25,2504504,21539.95475,11414
2018-11-07,855.95,847.6,850.15,331169,2817.199094,1411
2018-11-09,865,844,847.65,3528039,30147.677,21186
2018-11-12,901.5,843.2,894.75,13985301,123159.865,67407
2018-11-13,899.65,879.1,897.5,4432001,39454.01083,21773
2018-11-14,897.5,883,892.2,2606605,23207.91814,11462
2018-11-15,924,889,920.8,4711756,43118.97954,22456
2018-11-16,928.7,912.7,921.35,2769698,25499.42912,14476
2018-11-19,927,915.05,920.55,2104102,19385.17074,10594
2018-11-20,925.2,908.85,915.45,1540046,14098.81982,9362
2018-11-21,929.9,909.55,926.55,1855760,17092.65318,10864
2018-11-22,933.4,911.8,915.75,1617491,14934.26296,9321
2018-11-26,920.5,892.6,916.4,2116814,19209.90327,18696
2018-11-27,918,906,914.3,1126278,10282.22745,18200
2018-11-28,931,915,922.95,2434110,22545.76435,28437
2018-11-29,933.9,913,931.4,1991914,18463.87574,21220
2018-11-30,931,918,927.1,2738673,25330.75099,7421
2018-12-03,939.8,920.5,936.25,2044427,19016.5326,7460
2018-12-04,940.15,921.5,923.8,1424621,13226.34489,5754
2018-12-05,925.65,901.55,920.25,3020688,27557.50573,11298
2018-12-06,920,902,905.75,1425935,12977.25495,7155
2018-12-07,921.45,893.3,916.6,2750589,24917.49012,11328
2018-12-10,916,898,907.1,1508069,13685.33332,6339
2018-12-11,936.95,894.15,933.15,2792386,25619.61045,10248
2018-12-12,938.1,921,929.95,3256275,30242.86537,10932
2018-12-13,961.25,924.25,944.15,4821052,45391.15642,20489
