Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
01-03-2018,822.3,808,810.2,975986,7954.772888,2949
05-03-2018,814.85,801,808.9,1262568,10204.53046,3765
06-03-2018,823.2,799.05,807.65,1358775,11072.73272,5456
07-03-2018,820.1,800.2,814.85,1826249,14806.27438,6278
08-03-2018,822.3,808.05,817.7,1109489,9040.189018,3578
09-03-2018,827.6,815.5,819.1,1061685,8729.950615,5148
12-03-2018,831.6,822.4,829.1,1033715,8552.067553,4539
13-03-2018,860,830,851.95,2754435,23325.42031,12116
14-03-2018,867.85,849.95,865,1889040,16228.30162,8557
15-03-2018,875.75,860,872.5,2486538,21626.38968,7874
16-03-2018,883.4,862.1,879.25,2538310,22184.08792,7743
19-03-2018,891.85,864,869,2536517,22295.48392,11234
20-03-2018,880,860.1,871.75,1985478,17342.45733,7319
21-03-2018,884.7,869.6,872.25,1859947,16321.9951,7382
22-03-2018,892,872.25,887.55,3186401,28181.65928,10725
23-03-2018,900,872.85,895.05,4132765,36920.24484,16554
26-03-2018,949.8,896.45,939.05,5918775,54892.47722,34361
27-03-2018,949.5,932.35,942.4,2756923,25952.38455,17069
28-03-2018,964,918,942.3,11431588,108100.4562,38562
02-04-2018,948.5,926.3,944.1,2764385,25947.89683,8854
03-04-2018,951.7,924.55,931.95,2454365,22940.91915,8214
04-04-2018,939.7,902,904.35,2930774,26735.28289,12455
05-04-2018,924,902.65,920.05,4148653,37999.18124,12017
06-04-2018,946,908.05,940.3,2819200,26253.51091,14210
09-04-2018,971.8,947.05,960.65,5116819,49339.73528,21630
10-04-2018,968.9,953.1,962.25,2434826,23416.26249,10348
11-04-2018,981.4,958.1,979.95,3452488,33585.27901,14970
12-04-2018,993,971.35,976.05,4379096,43146.97335,17544
13-04-2018,994.8,980.5,987.15,3311755,32725.73096,15271
16-04-2018,991.9,973.3,980.5,2247785,22023.32528,9237
17-04-2018,999,974.1,997.6,2983704,29514.11945,20641
18-04-2018,999.7,975.1,977.1,2621345,25814.49506,14362
19-04-2018,983,949.2,952.75,3347181,32015.46826,16116
20-04-2018,965.4,947.05,956.55,2201052,21072.50943,11889
23-04-2018,973.2,948.6,962.95,2295872,22096.75931,18292
24-04-2018,971.3,954.25,961.95,1473491,14184.64195,13102
25-04-2018,968,955.1,960.85,1385599,13322.81864,13921
26-04-2018,972.45,955,969.5,1859223,17971.81531,15926
27-04-2018,978,963.6,970,1049687,10202.73711,8761
30-04-2018,984.9,968,981.8,1083840,10602.08604,9533
02-05-2018,985.45,960.4,964.5,1027474,9999.414974,7985
03-05-2018,977.75,951,959.35,1585290,15255.4764,11050
04-05-2018,966,952.35,958.1,958663,9184.281009,6499
07-05-2018,980.9,957.3,968.95,1987395,19300.74126,9291
08-05-2018,978.95,963,968.1,1979745,19204.51896,8881
09-05-2018,995.6,971,985.7,4201827,41410.87831,28001
10-05-2018,993.85,965.55,973.1,3434978,33706.19664,22983
11-05-2018,991.85,952,956.05,5712581,55319.70573,38534
14-05-2018,962,917.05,920,3754208,35044.15905,26199
15-05-2018,944.45,909.25,931,3154028,29442.20869,18339
16-05-2018,939.5,915.85,931.15,1923381,17928.57111,14774
17-05-2018,949,927.7,936.5,2895005,27285.91383,12451
18-05-2018,945.85,930.3,939.95,2574768,24230.32415,11341
21-05-2018,944.5,912.75,915.25,1233987,11431.05614,17006
22-05-2018,930.85,904.05,914.2,2086584,19152.72417,18126
23-05-2018,923,908.1,920.1,1938630,17789.94794,14783
24-05-2018,926.8,913.95,921.3,1209456,11115.45619,11894
25-05-2018,938.6,915.1,924.4,1700500,15793.06806,17216
28-05-2018,935.6,917.5,928.9,1139544,10556.3084,17265
29-05-2018,930.5,912,914.5,999806,9194.945015,12646
