Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
01-Mar-2018,822.3,808,810.2,975986,7954.772888,2949,
05-Mar-2018,814.85,801,808.9,1262568,10204.530459,3765,
06-Mar-2018,823.2,799.05,807.65,1358775,11072.73272,5456,
07-Mar-2018,820.1,800.2,814.85,1826249,14806.2743825,6278,
08-Mar-2018,822.3,808.05,817.7,1109489,9040.189018,3578,
09-Mar-2018,827.6,815.5,819.1,1061685,8729.950615,5148,
12-Mar-2018,831.6,822.4,829.1,1033715,8552.0675525,4539,
13-Mar-2018,860,830,851.95,2754435,23325.4203075,12116,
14-Mar-2018,867.85,849.95,865,1889040,16228.3016215,8557,
15-Mar-2018,875.75,860,872.5,2486538,21626.389675,7874,
16-Mar-2018,883.4,862.1,879.25,2538310,22184.087918,7743,
19-Mar-2018,891.85,864,869,2536517,22295.483918,11234,
20-Mar-2018,880,860.1,871.75,1985478,17342.4573275,7319,
21-Mar-2018,884.7,869.6,872.25,1859947,16321.9951015,7382,
22-Mar-2018,892,872.25,887.55,3186401,28181.6592845,10725,
23-Mar-2018,900,872.85,895.05,4132765,36920.2448415,16554,
26-Mar-2018,949.8,896.45,939.05,5918775,54892.4772185,34361,
27-Mar-2018,949.5,932.35,942.4,2756923,25952.3845485,17069,
28-Mar-2018,964,918,942.3,11431588,108100.4562135,38562,
02-Apr-2018,948.5,926.3,944.1,2764385,25947.896833,8854,
03-Apr-2018,951.7,924.55,931.95,2454365,22940.9191475,8214,
04-Apr-2018,939.7,902,904.35,2930774,26735.2828875,12455,
05-Apr-2018,924,902.65,920.05,4148653,37999.181244,12017,
06-Apr-2018,946,908.05,940.3,2819200,26253.5109055,14210,
09-Apr-2018,971.8,947.05,960.65,5116819,49339.735276,21630,
10-Apr-2018,968.9,953.1,962.25,2434826,23416.262485,10348,
11-Apr-2018,981.4,958.1,979.95,3452488,33585.279014,14970,
12-Apr-2018,993,971.35,976.05,4379096,43146.9733485,17544,
13-Apr-2018,994.8,980.5,987.15,3311755,32725.730962,15271,
16-Apr-2018,991.9,973.3,980.5,2247785,22023.3252765,9237,
17-Apr-2018,999,974.1,997.6,2983704,29514.1194455,20641,
18-Apr-2018,999.7,975.1,977.1,2621345,25814.495056,14362,
19-Apr-2018,983,949.2,952.75,3347181,32015.468261,16116,
20-Apr-2018,965.4,947.05,956.55,2201052,21072.5094285,11889,
23-Apr-2018,973.2,948.6,962.95,2295872,22096.7593095,18292,
24-Apr-2018,971.3,954.25,961.95,1473491,14184.6419535,13102,
25-Apr-2018,968,955.1,960.85,1385599,13322.818641,13921,
26-Apr-2018,972.45,955,969.5,1859223,17971.815306,15926,
27-Apr-2018,978,963.6,970,1049687,10202.7371105,8761,
30-Apr-2018,984.9,968,981.8,1083840,10602.0860385,9533,
02-May-2018,985.45,960.4,964.5,1027474,9999.414974,7985,
03-May-2018,977.75,951,959.35,1585290,15255.4764045,11050,
04-May-2018,966,952.35,958.1,958663,9184.2810085,6499,
07-May-2018,980.9,957.3,968.95,1987395,19300.7412575,9291,
08-May-2018,978.95,963,968.1,1979745,19204.518959,8881,
09-May-2018,995.6,971,985.7,4201827,41410.8783105,28001,
10-May-2018,993.85,965.55,973.1,3434978,33706.196642,22983,
11-May-2018,991.85,952,956.05,5712581,55319.7057255,38534,
14-May-2018,962,917.05,920,3754208,35044.159048,26199,
15-May-2018,944.45,909.25,931,3154028,29442.208686,18339,
16-May-2018,939.5,915.85,931.15,1923381,17928.57111,14774,
17-May-2018,949,927.7,936.5,2895005,27285.9138315,12451,
18-May-2018,945.85,930.3,939.95,2574768,24230.324145,11341,
21-May-2018,944.5,912.75,915.25,1233987,11431.0561405,17006,
22-May-2018,930.85,904.05,914.2,2086584,19152.724172,18126,
23-May-2018,923,908.1,920.1,1938630,17789.94794,14783,
24-May-2018,926.8,913.95,921.3,1209456,11115.456189,11894,
25-May-2018,938.6,915.1,924.4,1700500,15793.068063,17216,
28-May-2018,935.6,917.5,928.9,1139544,10556.3083995,17265,
29-May-2018,930.5,912,914.5,999806,9194.945015,12646,
30-May-2018,919,897.2,913.6,1911011,17393.992257,21310,
31-May-2018,924,890.15,900.1,4903734,44408.94798,23353,
01-Jun-2018,912.35,898,900,1392273,12613.2570685,7140,
04-Jun-2018,907.95,881.6,885.35,1529852,13590.879314,8558,
05-Jun-2018,886.45,858.2,863.95,2948255,25657.234798,11416,
06-Jun-2018,904,853.3,899.45,2854320,25297.536601,17380,
07-Jun-2018,906.7,884.2,887.15,2875636,25723.491237,14029,
08-Jun-2018,898,880.4,896,1672490,14903.368789,9017,
11-Jun-2018,914,896,903.35,2032601,18451.6226805,12730,
12-Jun-2018,911,901.1,904.7,1426736,12926.3622175,5611,
13-Jun-2018,926.8,905,918.15,2933810,26991.124346,15502,
14-Jun-2018,921.35,903.25,905.25,2004165,18221.9688275,7879,
15-Jun-2018,916.9,898.5,903.45,2364375,21400.683937,10603,
18-Jun-2018,905.25,891.7,897.7,1309586,11766.054203,11363,
19-Jun-2018,896.45,886,889,1833168,16323.980611,10466,
20-Jun-2018,897,880.5,888.35,1850681,16463.709703,15116,
21-Jun-2018,894.8,866,868.4,1274479,11205.8765375,11339,
22-Jun-2018,881.75,859,877.55,2183928,19036.8277125,13917,
25-Jun-2018,885.3,862,864,1217765,10582.989931,10121,
26-Jun-2018,874.5,862,872.15,1801638,15635.423596,13168,
27-Jun-2018,879.5,867,869.65,2037781,17758.51985,21432,
28-Jun-2018,868,830,836.35,9824968,82333.787756,31344,
29-Jun-2018,881.8,826.05,878.5,4960179,42715.236328,21382,
02-Jul-2018,906.9,870.15,897.4,3353006,29786.567447,18649,
03-Jul-2018,902.8,883.8,893.2,2770123,24764.8913405,9810,
04-Jul-2018,899.35,882.5,886.55,1104449,9812.1026905,7395,
05-Jul-2018,870.75,833.25,838,6128988,51936.169295,27920,
06-Jul-2018,848.5,813,829.65,6884175,57192.8783885,37919,
09-Jul-2018,836.3,817.65,821.8,4098360,33797.6451905,15998,
10-Jul-2018,840,822.4,832.85,2670508,22212.0489175,15721,
11-Jul-2018,833.15,805.6,809.5,2909483,23737.518533,24653,
12-Jul-2018,823.25,804,808.45,2832418,23083.2705275,15324,
13-Jul-2018,842,799.65,838.7,4995028,41280.049817,32189,
16-Jul-2018,844.1,816.1,831.2,3256321,26998.8380535,18547,
17-Jul-2018,855.2,826,845.15,2849218,24076.9494965,20320,
18-Jul-2018,856.1,838.1,846.2,2660188,22566.2419405,14244,
19-Jul-2018,874.8,847.05,869.85,3924410,33989.2846475,22927,
20-Jul-2018,876.6,857.4,860.4,2048572,17723.409123,14923,
23-Jul-2018,866,845.2,858.75,1334621,11410.550011,16118,
24-Jul-2018,870.9,851.5,861.65,2015425,17346.8571045,16666,
25-Jul-2018,871.6,853,865.9,1453640,12549.9801675,18821,
26-Jul-2018,869.95,850.5,854.5,1167616,10029.766138,15251,
